Identification,E-Tag,Link,Title,Author(s),Publisher,Published Date,Page Count,Average Rating,Ratings Count
tgxiRwAACAAJ,iatmoTezyxA,https://www.googleapis.com/books/v1/volumes/tgxiRwAACAAJ,My First Batman Book,"[""David Bar Katz""]",Downtown Bookworks,2011-01-11,12,,
4Ff5D0LuwZAC,+3dJd3aKcYQ,https://www.googleapis.com/books/v1/volumes/4Ff5D0LuwZAC,Batman Undercover,"[""Paul Weissburg"",""Luciano Vecchio""]",Capstone Classroom,2013-01-01,81,,
7AY6rnQmBssC,tmfVsNIKzJ4,https://www.googleapis.com/books/v1/volumes/7AY6rnQmBssC,The Dark Knight: Batman vs. the Cat Commander,"[""J.E. Bright""]",Capstone,2014,88,4,1
K10Cs-4ZsMwC,HnAve8GQrS8,https://www.googleapis.com/books/v1/volumes/K10Cs-4ZsMwC,Batman: Fun House of Evil,"[""Donald B. Lemke"",""Mike De Carlo"",""David Tanguay""]",Capstone,2009-01-01,88,,
bQFZLZsRppgC,YuHqab3x++M,https://www.googleapis.com/books/v1/volumes/bQFZLZsRppgC,Batman,"[""John Marriott""]",,1989,96,3,"1"
WkeCNwAACAAJ,Wk3AcPvU+Iw,https://www.googleapis.com/books/v1/volumes/WkeCNwAACAAJ,Batman,"[""Yoshinori Natsume"",""Rob Leigh"",""Sheldon Drzka"",""Bob Kane""]",Titan Books (UK),2008,190,4,2
73wknu2cVIkC,71PEINfRORU,https://www.googleapis.com/books/v1/volumes/73wknu2cVIkC,Batman - The Complete History,"[""Les Daniels""]",Chronicle Books,2004-04-01,208,4.5,5
VQkzMQAACAAJ,ATYuJjKGBnA,https://www.googleapis.com/books/v1/volumes/VQkzMQAACAAJ,Batman: Year One Deluxe Edition,"[""Frank Miller""]",,2017-09-12,288,,
br1KlyUhmloC,Tbdie/ZpZvM,https://www.googleapis.com/books/v1/volumes/br1KlyUhmloC,Batman,"[""John Shirley"",""Bob Kane""]","Random House Digital, Inc.",2006,310,3.5,2
nHuLCwAAQBAJ,nxcIOeRxDhU,https://www.googleapis.com/books/v1/volumes/nHuLCwAAQBAJ,Batman: Contagion,"[""Chuck Dixon"",""Doug Moench"",""Alan Grant""]",DC,2016-03-15,504,,
